Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-07-17,Everything Everywhere All at Once,2022,https://boxd.it/4wWwq7,,Yes,"Rewatching this as a new parent sure hit differently, woof",,2023-07-16
2024-01-01,The Holdovers,2023,https://boxd.it/5s5SSN,4.5,,"""That boy is too dumb to pour piss out of a boot. A genuine troglodyte.""",,2023-12-31
